# AI SYSTEM INDEX (machine-oriented, not prose)
@version=0.1.1
@source=index.json
@generated=2025-09-29T00:00:00Z
@record_format=id|mode|priority|taskType|filePath|description|keywords(comma-separated)
@delimiter=|
@notes=Fields are pipe-delimited; consumers should split on '|' then split last field on commas for keyword tokens.

salesforce-agent-use-safeWriteJson-1758892247964|salesforce-agent|high|developement|modes/salesforce-agent/use-safeWriteJson.md|JSON File Writing Must Be Atomic|salesforce-agent,use-safeWriteJson,test,pr
salesforce-agent-custom-object-1758892247966|salesforce-agent|high|developement|modes/salesforce-agent/custom-object.md|Salesforce Object Creation|object, create ,salesforce, create-xml
salesforce-agent-custom-field-1758892247945|salesforce-agent|high|developement|modes/salesforce-agent/custom-field.md|Salesforce Field Creation|field, create ,salesforce,custom field, create-xml
salesforce-agent-role-create-1758892246967|salesforce-agent|high|developement|modes/salesforce-agent/role-creation.md|Salesforce Role Creation|role, create , update, parent role, child role, hierarchy, salesforce, create-xml
salesforce-agent-profile-1758892247967|salesforce-agent|high|developement|modes/salesforce-agent/profile.md|Salesforce Profile Creation|profile, create, clone ,salesforce, create-xml
salesforce-agent-object-permissions-1758892247969|salesforce-agent|high|developement|modes/salesforce-agent/object-permissions.md|Salesforce Object Permissions Management|assign,object, permissions, salesforce, create-xml
salesforce-agent-field-permissions-1758892247970|salesforce-agent|high|developement|modes/salesforce-agent/field-permissions.md|Salesforce Field Permissions Management|assign, field, permissions, salesforce, create-xml
salesforce-agent-path-creation-1758892247972|salesforce-agent|high|developement|modes/salesforce-agent/path-creation.md|Salesforce Path Creation Management|path, picklist values, fields, record types, object, salesforce, create-xml
salesforce-agent-assignment-rules-1758892247973|salesforce-agent|high|developement|modes/salesforce-agent/assignment-rules.md|Salesforce Assignment Rules Management|assignment, rules, salesforce, create-xml, case, leads
salesforce-agent-validation-rules-1758892247975|salesforce-agent|high|developement|modes/salesforce-agent/validation-rules.md|Salesforce Validation Rules Management|validation, rules, salesforce, create-xml, formula
code-lwc-guide-1758892248130|code|high|developement|modes/code/lwc-guide.md|Lightning Web Components Guide Rules|lwc,lightning,components,js,html,salesforce,guide,rules,best-practices
code-apex-guide-1758892248133|code|high|developement|modes/code/apex-guide.md|Apex Guide Rules and Best Practices|apex,classes,triggers,salesforce,guide,rules,best-practices,soql
docs-extractor-1_extraction_workflow-1758892247968|docs-extractor|high|testing|modes/docs-extractor/1_extraction_workflow.xml|Analyze and extract comprehensive details for documentation team|docs-extractor,1_extraction_workflow,test,error,architecture,design,pattern,workflow,integration,issue,pr,xml
docs-extractor-2_documentation_patterns-1758892247971|docs-extractor|high|debugging|modes/docs-extractor/2_documentation_patterns.xml|docs-extractor instructions for 2_documentation_patterns|docs-extractor,2_documentation_patterns,debug,error,architecture,pattern,typescript,integration,issue,pr,xml
docs-extractor-3_analysis_techniques-1758892247974|docs-extractor|high|testing|modes/docs-extractor/3_analysis_techniques.xml|Search for UI component files|docs-extractor,3_analysis_techniques,test,error,design,pattern,typescript,react,workflow,integration,pr,xml
docs-extractor-4_tool_usage_guide-1758892247976|docs-extractor|high|testing|modes/docs-extractor/4_tool_usage_guide.xml|Use the most appropriate tools for the situation|docs-extractor,4_tool_usage_guide,test,error,architecture,pattern,javascript,typescript,workflow,integration,pr,xml
docs-extractor-5_complete_extraction_examples-1758892247979|docs-extractor|high|architecture|modes/docs-extractor/5_complete_extraction_examples.xml|Initialize and discover feature using flexible methods|docs-extractor,5_complete_extraction_examples,error,optimize,architecture,design,pattern,javascript,typescript,react,python,workflow,integration,pr,review,xml
docs-extractor-6_communication_guidelines-1758892247982|docs-extractor|high|testing|modes/docs-extractor/6_communication_guidelines.xml|docs-extractor instructions for 6_communication_guidelines|docs-extractor,6_communication_guidelines,test,error,pattern,typescript,workflow,integration,issue,pr,review,xml
docs-extractor-7_user_friendly_examples-1758892247985|docs-extractor|high|refactoring|modes/docs-extractor/7_user_friendly_examples.xml|docs-extractor instructions for 7_user_friendly_examples|docs-extractor,7_user_friendly_examples,error,fix,refactor,workflow,issue,pr,xml
